model,task,family,accuracy,macro_f1,weighted_f1,roc_auc,fit_time_s,note
LightGBM,A: traffic (binary),baseline,0.9860610195925529,0.9755581237482811,0.9860204136011848,0.9983593057401564,8.781125783920288,
XGBoost,A: traffic (binary),baseline,0.9852812164928355,0.9741849608231434,0.9852366730936263,0.998528775984554,2.011648178100586,
CatBoost,A: traffic (binary),baseline,0.9839652987620626,0.971823270589266,0.9839012937134124,0.9981103926952378,6.721814870834351,
BFT (proposal),A: traffic (binary),proposal,0.9836241349059363,0.9710113862647102,0.9834973923453327,0.9967983110288341,65.93837928771973,FT-Transformer + leaf tokens + PLR + CB-focal
Random Forest,A: traffic (binary),baseline,0.9825031679500926,0.969377753446699,0.9824689693713969,0.995093877007438,7.228423357009888,
ET-BERT-inspired*,A: traffic (binary),adapted,0.980651135588264,0.965976549974068,0.9805672808133258,0.9972290265043444,81.63937377929688,"adaptation - tabular tokens, not packet bytes"
FT-Transformer,A: traffic (binary),deep tabular,0.9666634174870845,0.9419726546694552,0.9666892446448437,0.9917072963474864,96.66466784477234,
TabNet,A: traffic (binary),deep tabular,0.9358611950482503,0.8934597481448042,0.9373483904201727,0.9773674070505982,61.93006491661072,
TFE-GNN-inspired*,A: traffic (binary),adapted,0.9303050979627644,0.882836089299234,0.931533622076721,0.9714175123338427,2.1087446212768555,"adaptation - k-NN flow graph, not byte graph"
XGBoost,B: application (8-class),baseline,0.9017935471293499,0.8505816924529853,0.9008523593972875,0.993002712009012,14.729313373565674,
LightGBM,B: application (8-class),baseline,0.9004776293985769,0.8479773347959874,0.8997089895408752,0.9923130746283587,48.2480103969574,
BFT (proposal),B: application (8-class),proposal,0.8951652207817526,0.8354049963661709,0.8941859200044879,0.9877844299626952,69.79783582687378,FT-Transformer + leaf tokens + PLR + CB-focal
Random Forest,B: application (8-class),baseline,0.8920947460766157,0.8341622814783698,0.8914943342502956,0.9844496021221719,8.678422927856445,
CatBoost,B: application (8-class),baseline,0.8935568768885856,0.8316233049615207,0.8916717299123019,0.990982257303653,11.078373908996582,
ET-BERT-inspired*,B: application (8-class),adapted,0.8789843064626182,0.8053762997571113,0.8772591313874771,0.9886113583095109,86.69854736328125,"adaptation - tabular tokens, not packet bytes"
FT-Transformer,B: application (8-class),deep tabular,0.8361438736718978,0.7329807881733368,0.8312785153034632,0.9785462962725083,107.90009069442749,
TabNet,B: application (8-class),deep tabular,0.8041232088897553,0.6978899874423479,0.8026368044920151,0.9687192239765863,181.33510065078735,
TFE-GNN-inspired*,B: application (8-class),adapted,0.7930110147187835,0.6611382030847197,0.7816351100093928,0.9544968473474804,2.220707893371582,"adaptation - k-NN flow graph, not byte graph"
