source,model,traffic,application
Rust-Nguyen et al. (2023),Random Forest,0.998,0.922
Rust-Nguyen et al. (2023),XGBoost,0.983,0.893
Rust-Nguyen et al. (2023),CNN,,0.888
Sarwar et al. (2021),CNN-LSTM,0.96,0.89
Iliadis & Kaifas (2021),Random Forest,0.987,
This work,LightGBM,0.9860204136011848,0.8997089895408752
This work,XGBoost,0.9852366730936263,0.9008523593972875
This work,CatBoost,0.9839012937134124,0.8916717299123019
This work,BFT (proposal),0.9834973923453327,0.8941859200044879
This work,Random Forest,0.9824689693713969,0.8914943342502956
This work,ET-BERT-inspired*,0.9805672808133258,0.8772591313874771
This work,FT-Transformer,0.9666892446448437,0.8312785153034632
This work,TabNet,0.9373483904201727,0.8026368044920151
This work,TFE-GNN-inspired*,0.931533622076721,0.7816351100093928
